path,teclas,fecha
videos/process/process_escena2/shift_0_10-05-34.jpg,shift,10-05-34
videos/process/process_escena2/shift_0_10-05-35.jpg,shift,10-05-35
videos/process/process_escena2/shift_0_10-05-35_1.jpg,shift,10-05-35
videos/process/process_escena2/shift_0_10-05-35_2.jpg,shift,10-05-35
videos/process/process_escena2/shift_0_10-05-35_3.jpg,shift,10-05-35
videos/process/process_escena2/shift_0_10-05-36.jpg,shift,10-05-36
videos/process/process_escena2/shift_0_10-05-37.jpg,shift,10-05-37
videos/process/process_escena2/shift_0_10-05-37_1.jpg,shift,10-05-37
videos/process/process_escena2/shift_0_10-05-38.jpg,shift,10-05-38
videos/process/process_escena2/shift_0_10-05-38_1.jpg,shift,10-05-38
videos/process/process_escena2/shift_0_10-05-38_2.jpg,shift,10-05-38
videos/process/process_escena2/shift_0_10-05-39_2.jpg,shift,10-05-39
videos/process/process_escena2/shift_0_10-05-39.jpg,shift,10-05-39
videos/process/process_escena2/shift_0_10-05-39_1.jpg,shift,10-05-39
videos/process/process_escena2/shift_0_10-05-40.jpg,shift,10-05-40
videos/process/process_escena2/shift_0_10-05-41_1.jpg,shift,10-05-41
videos/process/process_escena2/shift_0_10-05-41.jpg,shift,10-05-41
videos/process/process_escena2/shift_0_10-05-42_2.jpg,shift,10-05-42
videos/process/process_escena2/shift_0_10-05-42_1.jpg,shift,10-05-42
videos/process/process_escena2/shift_0_10-05-42.jpg,shift,10-05-42
videos/process/process_escena2/shift_0_10-05-43_3.jpg,shift,10-05-43
videos/process/process_escena2/shift_0_10-05-43_1.jpg,shift,10-05-43
videos/process/process_escena2/shift_0_10-05-43_2.jpg,shift,10-05-43
videos/process/process_escena2/shift_0_10-05-43.jpg,shift,10-05-43
videos/process/process_escena2/shift_0_10-05-44.jpg,shift,10-05-44
videos/process/process_escena2/d_0_10-05-55.jpg,d,10-05-55
videos/process/process_escena2/a_0_10-05-55.jpg,a,10-05-55
videos/process/process_escena2/d_0_10-05-56.jpg,d,10-05-56
videos/process/process_escena2/right_0_10-06-06.jpg,right,10-06-06
videos/process/process_escena2/up_0_10-06-06.jpg,up,10-06-06
videos/process/process_escena2/up_0_10-06-07.jpg,up,10-06-07
videos/process/process_escena2/up_0_10-06-08.jpg,up,10-06-08
videos/process/process_escena2/up_0_10-06-09.jpg,up,10-06-09
videos/process/process_escena2/down_0_10-06-10.jpg,down,10-06-10
videos/process/process_escena2/up_0_10-06-11.jpg,up,10-06-11
videos/process/process_escena2/enter_0_10-06-12.jpg,enter,10-06-12
videos/process/process_escena2/enter_0_10-06-13.jpg,enter,10-06-13
videos/process/process_escena2/enter_0_10-06-14.jpg,enter,10-06-14
videos/process/process_escena2/enter_0_10-06-14_1.jpg,enter,10-06-14
videos/process/process_escena2/enter_0_10-06-15.jpg,enter,10-06-15
videos/process/process_escena2/enter_0_10-06-15_1.jpg,enter,10-06-15
